ID,sire,dam
a29224,a28401,a28600
a29225,a28401,a28516
a29226,a28419,a28570
a29227,a28472,a28578
a29228,a28443,a28594
a29229,a28426,a28586
a29230,a28442,a28545
a29231,a28465,a28584
a29232,a28491,a28597
a29233,a28447,a28552
a29234,a28492,a28521
a29235,a28491,a28514
a29236,a28472,a28501
a29237,a28418,a28573
a29238,a28467,a28532
a29239,a28493,a28591
a29240,a28471,a28581
a29241,a28451,a28522
a29242,a28423,a28596
a29243,a28495,a28600
a29244,a28425,a28569
a29245,a28465,a28561
a29246,a28449,a28537
a29247,a28431,a28588
a29248,a28469,a28599
a29249,a28481,a28598
a29250,a28444,a28546
a29251,a28497,a28599
a29252,a28457,a28589
a29253,a28472,a28506
a29254,a28441,a28577
a29255,a28487,a28589
a29256,a28433,a28521
a29257,a28460,a28503
a29258,a28405,a28509
a29259,a28488,a28527
a29260,a28429,a28516
a29261,a28403,a28509
a29262,a28402,a28595
a29263,a28401,a28523
a29264,a28418,a28560
a29265,a28493,a28576
a29266,a28430,a28561
a29267,a28449,a28539
a29268,a28439,a28511
a29269,a28457,a28599
a29270,a28401,a28539
a29271,a28492,a28552
a29272,a28462,a28537
a29273,a28432,a28517
a29274,a28419,a28587
a29275,a28495,a28594
a29276,a28467,a28519
a29277,a28472,a28567
a29278,a28473,a28581
a29279,a28422,a28574
a29280,a28440,a28557
a29281,a28447,a28528
a29282,a28459,a28548
a29283,a28489,a28563
a29284,a28431,a28600
a29285,a28467,a28585
a29286,a28474,a28543
a29287,a28468,a28557
a29288,a28488,a28523
a29289,a28430,a28506
a29290,a28439,a28583
a29291,a28500,a28519
a29292,a28407,a28558
a29293,a28453,a28508
a29294,a28493,a28600
a29295,a28456,a28570
a29296,a28480,a28569
a29297,a28450,a28521
a29298,a28477,a28538
a29299,a28481,a28566
a29300,a28410,a28598
a29301,a28418,a28567
a29302,a28401,a28535
a29303,a28458,a28533
a29304,a28448,a28562
a29305,a28439,a28563
a29306,a28419,a28508
a29307,a28443,a28538
a29308,a28493,a28566
a29309,a28465,a28566
a29310,a28417,a28533
a29311,a28477,a28528
a29312,a28486,a28578
a29313,a28494,a28587
a29314,a28486,a28578
a29315,a28495,a28539
a29316,a28441,a28577
a29317,a28407,a28574
a29318,a28476,a28531
a29319,a28499,a28590
a29320,a28429,a28558
a29321,a28425,a28581
a29322,a28442,a28597
a29323,a28460,a28578
a29324,a28421,a28529
a29325,a28418,a28593
a29326,a28454,a28553
a29327,a28404,a28582
a29328,a28495,a28561
a29329,a28404,a28534
a29330,a28410,a28563
a29331,a28413,a28588
a29332,a28470,a28558
a29333,a28452,a28545
a29334,a28470,a28531
a29335,a28422,a28557
a29336,a28424,a28589
a29337,a28418,a28557
a29338,a28414,a28593
a29339,a28424,a28552
a29340,a28471,a28530
a29341,a28458,a28578
a29342,a28493,a28549
a29343,a28457,a28566
a29344,a28494,a28563
a29345,a28471,a28557
a29346,a28485,a28585
a29347,a28482,a28521
a29348,a28450,a28514
a29349,a28433,a28508
a29350,a28462,a28550
a29351,a28457,a28508
a29352,a28430,a28504
a29353,a28484,a28600
a29354,a28437,a28516
a29355,a28458,a28522
a29356,a28402,a28507
a29357,a28462,a28516
a29358,a28472,a28556
a29359,a28441,a28559
a29360,a28431,a28508
a29361,a28446,a28587
a29362,a28423,a28549
a29363,a28471,a28533
a29364,a28401,a28553
a29365,a28487,a28563
a29366,a28427,a28547
a29367,a28494,a28582
a29368,a28473,a28579
